# New slice
#Trajectory.
12 18
13 18
14 18
15 18
16 18
17 18
18 18
19 18
20 18
21 18
22 18
23 18
24 18
25 18
26 18
27 18
28 18
29 18
30 18
31 18
32 18
33 18
34 18
35 18
36 18
37 18
37 19
37 20
37 21
37 22
37 23
37 24
37 25
37 26
37 27
37 28
37 29
37 30
37 31
37 32
37 33
37 34
37 35
37 36
37 37
37 38
37 39
37 40
37 41
37 42
37 43
36 43
35 43
34 43
33 43
32 43
31 43
30 43
29 43
28 43
27 43
26 43
25 43
24 43
23 43
22 43
21 43
20 43
19 43
18 43
17 43
16 43
15 43
14 43
13 43
12 43
12 42
12 41
12 40
12 39
12 38
12 37
12 36
12 35
12 34
12 33
12 32
12 31
12 30
12 29
12 28
12 27
12 26
12 25
12 24
12 23
12 22
12 21
12 20
12 19
#Trajectory.
19 12
20 12
21 12
22 12
23 12
24 12
25 12
26 12
27 12
28 12
29 12
30 12
31 12
32 12
33 12
34 12
35 12
36 12
37 12
38 12
39 12
40 12
41 12
42 12
43 12
44 12
44 13
44 14
44 15
44 16
44 17
44 18
44 19
44 20
44 21
44 22
44 23
44 24
44 25
44 26
44 27
44 28
44 29
44 30
44 31
44 32
44 33
44 34
44 35
44 36
44 37
43 37
42 37
41 37
40 37
39 37
38 37
37 37
36 37
35 37
34 37
33 37
32 37
31 37
30 37
29 37
28 37
27 37
26 37
25 37
24 37
23 37
22 37
21 37
20 37
19 37
19 36
19 35
19 34
19 33
19 32
19 31
19 30
19 29
19 28
19 27
19 26
19 25
19 24
19 23
19 22
19 21
19 20
19 19
19 18
19 17
19 16
19 15
19 14
19 13
#Trajectory.
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
21 12
22 12
23 12
24 12
25 12
26 12
27 12
28 12
29 12
30 12
31 12
32 12
33 12
34 12
35 12
35 13
35 14
35 15
35 16
35 17
35 18
35 19
35 20
35 21
35 22
35 23
35 24
35 25
35 26
35 27
35 28
35 29
35 30
35 31
35 32
35 33
35 34
35 35
35 36
35 37
34 37
33 37
32 37
31 37
30 37
29 37
28 37
27 37
26 37
25 37
24 37
23 37
22 37
21 37
20 37
19 37
18 37
17 37
16 37
15 37
14 37
13 37
12 37
11 37
10 37
10 36
10 35
10 34
10 33
10 32
10 31
10 30
10 29
10 28
